subject,seed_roi,seed_hemi,target_roi,target_hemi,run_combo,value
sub-spaceloc1006,pIPS,left,LO,left,1to2,-0.05807951152698008
sub-spaceloc1006,pIPS,left,LO,left,2to1,0.035726620843372185
sub-spaceloc1006,pIPS,left,LO,right,1to2,-0.026970596689950607
sub-spaceloc1006,pIPS,left,LO,right,2to1,0.03179580363922055
sub-spaceloc1006,pIPS,right,pIPS,left,1to2,-0.05065458630113166
sub-spaceloc1006,pIPS,right,pIPS,left,2to1,0.011579120843845025
sub-spaceloc1006,pIPS,right,aIPS,left,1to2,-0.038219148570407244
sub-spaceloc1006,pIPS,right,aIPS,left,2to1,0.007617660216135115
sub-spaceloc1006,pIPS,right,aIPS,right,1to2,-0.00852580047370158
sub-spaceloc1006,pIPS,right,aIPS,right,2to1,0.0036166315859687613
sub-spaceloc1006,pIPS,right,LO,left,1to2,0.010395119708855932
sub-spaceloc1006,pIPS,right,LO,left,2to1,0.01074513779362186
sub-spaceloc1006,pIPS,right,LO,right,1to2,0.013538162796835425
sub-spaceloc1006,pIPS,right,LO,right,2to1,0.02730216026414811
sub-spaceloc1006,aIPS,left,pIPS,left,1to2,-0.04578949391799194
sub-spaceloc1006,aIPS,left,pIPS,left,2to1,0.015402979953418218
sub-spaceloc1006,aIPS,left,pIPS,right,1to2,-0.03639462297078929
sub-spaceloc1006,aIPS,left,pIPS,right,2to1,0.007622774974068788
sub-spaceloc1006,aIPS,left,aIPS,right,1to2,-0.013664596806452085
sub-spaceloc1006,aIPS,left,aIPS,right,2to1,0.010673391292872762
sub-spaceloc1006,aIPS,left,LO,left,1to2,-0.03910458465508846
sub-spaceloc1006,aIPS,left,LO,left,2to1,-0.013055448660357481
sub-spaceloc1006,aIPS,left,LO,right,1to2,-0.021340110638434825
sub-spaceloc1006,aIPS,left,LO,right,2to1,0.02104513105415921
sub-spaceloc1006,aIPS,right,pIPS,left,1to2,-0.04752836052718607
sub-spaceloc1006,aIPS,right,pIPS,left,2to1,0.008950913394515108
sub-spaceloc1006,aIPS,right,pIPS,right,1to2,-0.04080107682195442
sub-spaceloc1006,aIPS,right,pIPS,right,2to1,0.0036172525863947054
sub-spaceloc1006,aIPS,right,aIPS,left,1to2,-0.0435571670560758
sub-spaceloc1006,aIPS,right,aIPS,left,2to1,0.010672880659812681
sub-spaceloc1006,aIPS,right,LO,left,1to2,-0.026796599032660615
sub-spaceloc1006,aIPS,right,LO,left,2to1,-0.01637040945526984
sub-spaceloc1006,aIPS,right,LO,right,1to2,-0.003002060943602679
sub-spaceloc1006,aIPS,right,LO,right,2to1,0.02235627703397361
sub-spaceloc1006,LO,left,pIPS,left,1to2,-0.05814675849800514
sub-spaceloc1006,LO,left,pIPS,left,2to1,0.035688629493871395
sub-spaceloc1006,LO,left,pIPS,right,1to2,0.010077595512448582
sub-spaceloc1006,LO,left,pIPS,right,2to1,0.010749795222932906
sub-spaceloc1006,LO,left,aIPS,left,1to2,-0.03913939801901212
sub-spaceloc1006,LO,left,aIPS,left,2to1,-0.013046683595279876
sub-spaceloc1006,LO,left,aIPS,right,1to2,-0.008285245095596264
sub-spaceloc1006,LO,left,aIPS,right,2to1,-0.01637306782740276
sub-spaceloc1006,LO,left,LO,right,1to2,0.005075167700462831
sub-spaceloc1006,LO,left,LO,right,2to1,0.01839177054090459
sub-spaceloc1006,LO,right,pIPS,left,1to2,-0.026962154153387513
sub-spaceloc1006,LO,right,pIPS,left,2to1,0.031775417790059685
sub-spaceloc1006,LO,right,pIPS,right,1to2,0.012283858741562466
sub-spaceloc1006,LO,right,pIPS,right,2to1,0.027279351765590123
sub-spaceloc1006,LO,right,aIPS,left,1to2,-0.021333301361514543
sub-spaceloc1006,LO,right,aIPS,left,2to1,0.021026765826518214
sub-spaceloc1006,LO,right,aIPS,right,1to2,-0.005061918574304398
sub-spaceloc1006,LO,right,aIPS,right,2to1,0.02233841427954321
sub-spaceloc1006,LO,right,LO,left,1to2,0.005049977946156338
sub-spaceloc1006,LO,right,LO,left,2to1,0.018374957238867996
sub-spaceloc1007,pIPS,left,pIPS,right,1to2,0.003673902394433248
sub-spaceloc1007,pIPS,left,pIPS,right,2to1,0.037754093359410934
sub-spaceloc1007,pIPS,left,aIPS,left,1to2,-0.01211465756549329
sub-spaceloc1007,pIPS,left,aIPS,left,2to1,0.009182653459491118
sub-spaceloc1007,pIPS,left,aIPS,right,1to2,0.006111792063341333
sub-spaceloc1007,pIPS,left,aIPS,right,2to1,0.024235535809548812
sub-spaceloc1007,pIPS,left,LO,left,1to2,-0.005437385294508634
sub-spaceloc1007,pIPS,left,LO,left,2to1,0.03651010795503545
sub-spaceloc1007,pIPS,left,LO,right,1to2,-0.0003927314126021424
sub-spaceloc1007,pIPS,left,LO,right,2to1,0.04951071390631609
sub-spaceloc1007,pIPS,right,pIPS,left,1to2,0.003671910631542231
