ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key,Full_ID
128,7Networks_RH_SomMot_13,SomMot_13,0.2117922428595956,5.255946042195865,2.958750029005027e-07,True,0.21179224285959555,0.002429924637851038,0.2117922428595956,0.13551278550387963,0.2945349268582565,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
127,7Networks_RH_SomMot_12,SomMot_12,-0.013425804080872445,-1.7329865475327426,0.08396400546827913,True,-0.013425804080872445,0.0004106011060318586,-0.013425804080872445,-0.03120423083926501,0.0,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
126,7Networks_RH_SomMot_11,SomMot_11,-0.020031503620274605,-2.456237909320585,0.01440540107241297,True,-0.020031503620274616,0.0003786030686244322,-0.020031503620274605,-0.03653935493096003,-0.006503009671454128,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
125,7Networks_RH_SomMot_10,SomMot_10,0.03005527315358133,2.8522671150378867,0.004567219500694286,True,0.03005527315358133,0.0005281885088003862,0.03005527315358133,0.011255257310835336,0.05288839050233029,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
116,7Networks_RH_SomMot_1,SomMot_1,-0.025143709100869497,-3.1845029130442857,0.001525051791992322,True,-0.025143709100869497,0.00032207013623828664,-0.025143709100869497,-0.040501752801074785,-0.010288714215129582,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
124,7Networks_RH_SomMot_9,SomMot_9,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
122,7Networks_RH_SomMot_7,SomMot_7,-0.13377797100728042,-8.011647576842181,4.18381516347612e-15,True,-0.13377797100728045,0.0006017518100134168,-0.13377797100728042,-0.16752390017106178,-0.10179604029140105,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
121,7Networks_RH_SomMot_6,SomMot_6,-0.06037936720159108,-3.5272260047379405,0.00048727918558604476,True,-0.060379367201591094,0.0010000494130072092,-0.06037936720159108,-0.09409049075997089,-0.02992510527404825,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
120,7Networks_RH_SomMot_5,SomMot_5,-0.11240838887385857,-4.75274086106398,3.2231066919284255e-06,True,-0.11240838887385855,0.0014185093077411577,-0.11240838887385857,-0.16125714771340993,-0.0681150402086673,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
119,7Networks_RH_SomMot_4,SomMot_4,-0.1935964132387223,-7.238690885673763,2.3634641901336765e-12,True,-0.19359641323872231,0.001342276609289268,-0.1935964132387223,-0.24538453967335644,-0.14424330565299634,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
118,7Networks_RH_SomMot_3,SomMot_3,-0.03578171751295875,-3.024114785120938,0.0026625242587378696,True,-0.035781717512958756,0.0006061783530591622,-0.03578171751295875,-0.060733783998928245,-0.015426290037010884,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
117,7Networks_RH_SomMot_2,SomMot_2,-0.18462280282898832,-8.001675371605575,7.811154893442034e-15,True,-0.18462280282898832,0.001003174711680212,-0.18462280282898832,-0.23356239159970146,-0.14398126488922855,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
123,7Networks_RH_SomMot_8,SomMot_8,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
133,7Networks_RH_SomMot_18,SomMot_18,-0.016025588037916448,-1.3283906076420455,0.18448764995004385,True,-0.016025588037916455,0.0004589328597005877,-0.016025588037916448,-0.040031973015318585,0.008187023158289907,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
132,7Networks_RH_SomMot_17,SomMot_17,0.04102721173368698,2.8054071839174397,0.0052878828909653135,True,0.04102721173368699,0.0007562063098692442,0.04102721173368698,0.015619847718544818,0.0736249677603657,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
131,7Networks_RH_SomMot_16,SomMot_16,0.017642759841961602,1.9475809818671845,0.051892676308617505,True,0.01764275984196161,0.00035422737699887687,0.017642759841961602,0.00010961178075526557,0.036230620606899216,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
63,7Networks_LH_Cont_Par_3,Cont_Par_3,1.1565943498884723,17.119010249602006,1.896080358786198e-50,True,1.1565943498884723,0.0032619234757672636,1.1565943498884723,1.0228735037279333,1.2928711593140207,Parietal,L,Cont_Par,Parietal,"(2, 'Cont_Par', 0)",Cont_Par_L
61,7Networks_LH_Cont_Par_1,Cont_Par_1,0.10450336467739348,5.400966456125837,1.0713073813699756e-07,True,0.10450336467739348,0.0009080941274352296,0.10450336467739348,0.06941029077227218,0.1481546269222564,Parietal,L,Cont_Par,Parietal,"(2, 'Cont_Par', 0)",Cont_Par_L
