subject,seed_roi,seed_hemisphere,target_roi,target_hemisphere,task,analysis,mean_activation
sub-spaceloc1004,aIPS,right,pIPS,right,ToolLoc,ppi,0.00258997100498728
sub-spaceloc1004,aIPS,right,LO,left,ToolLoc,ppi,0.0032512582296509844
sub-spaceloc1004,aIPS,right,LO,right,ToolLoc,ppi,0.00258997100498728
sub-spaceloc1004,aIPS,right,PFS,left,ToolLoc,ppi,0.0032512582296509844
sub-spaceloc1004,aIPS,right,PFS,right,ToolLoc,ppi,0.00258997100498728
sub-spaceloc1004,aIPS,right,aIPS,left,ToolLoc,ppi,0.0032512582296509844
sub-spaceloc1004,aIPS,right,aIPS,right,ToolLoc,ppi,0.00258997100498728
sub-spaceloc1005,pIPS,left,pIPS,left,ToolLoc,ppi,0.028280898119555788
sub-spaceloc1005,pIPS,left,pIPS,right,ToolLoc,ppi,0.01636237109149177
sub-spaceloc1005,pIPS,left,LO,left,ToolLoc,ppi,0.028280898119555788
sub-spaceloc1005,pIPS,left,LO,right,ToolLoc,ppi,0.01636237109149177
sub-spaceloc1005,pIPS,left,PFS,left,ToolLoc,ppi,0.028280898119555788
sub-spaceloc1005,pIPS,left,PFS,right,ToolLoc,ppi,0.01636237109149177
sub-spaceloc1005,pIPS,left,aIPS,left,ToolLoc,ppi,0.028280898119555788
sub-spaceloc1005,pIPS,left,aIPS,right,ToolLoc,ppi,0.01636237109149177
sub-spaceloc1005,pIPS,right,pIPS,left,ToolLoc,ppi,-0.008922731052355274
sub-spaceloc1005,pIPS,right,pIPS,right,ToolLoc,ppi,0.005403177590614923
sub-spaceloc1005,pIPS,right,LO,left,ToolLoc,ppi,-0.008922731052355274
sub-spaceloc1005,pIPS,right,LO,right,ToolLoc,ppi,0.005403177590614923
sub-spaceloc1005,pIPS,right,PFS,left,ToolLoc,ppi,-0.008922731052355274
sub-spaceloc1005,pIPS,right,PFS,right,ToolLoc,ppi,0.005403177590614923
sub-spaceloc1005,pIPS,right,aIPS,left,ToolLoc,ppi,-0.008922731052355274
sub-spaceloc1005,pIPS,right,aIPS,right,ToolLoc,ppi,0.005403177590614923
sub-spaceloc1005,LO,left,pIPS,left,ToolLoc,ppi,-0.01827847454370114
sub-spaceloc1005,LO,left,pIPS,right,ToolLoc,ppi,-0.009935239660636051
sub-spaceloc1005,LO,left,LO,left,ToolLoc,ppi,-0.01827847454370114
sub-spaceloc1005,LO,left,LO,right,ToolLoc,ppi,-0.009935239660636051
sub-spaceloc1005,LO,left,PFS,left,ToolLoc,ppi,-0.01827847454370114
sub-spaceloc1005,LO,left,PFS,right,ToolLoc,ppi,-0.009935239660636051
sub-spaceloc1005,LO,left,aIPS,left,ToolLoc,ppi,-0.01827847454370114
sub-spaceloc1005,LO,left,aIPS,right,ToolLoc,ppi,-0.009935239660636051
sub-spaceloc1005,LO,right,pIPS,left,ToolLoc,ppi,-0.011209846706039747
sub-spaceloc1005,LO,right,pIPS,right,ToolLoc,ppi,-0.005868185680376086
sub-spaceloc1005,LO,right,LO,left,ToolLoc,ppi,-0.011209846706039747
sub-spaceloc1005,LO,right,LO,right,ToolLoc,ppi,-0.005868185680376086
sub-spaceloc1005,LO,right,PFS,left,ToolLoc,ppi,-0.011209846706039747
sub-spaceloc1005,LO,right,PFS,right,ToolLoc,ppi,-0.005868185680376086
sub-spaceloc1005,LO,right,aIPS,left,ToolLoc,ppi,-0.011209846706039747
sub-spaceloc1005,LO,right,aIPS,right,ToolLoc,ppi,-0.005868185680376086
sub-spaceloc1005,PFS,left,pIPS,left,ToolLoc,ppi,0.0012336510096377293
sub-spaceloc1005,PFS,left,pIPS,right,ToolLoc,ppi,0.009200311649527232
sub-spaceloc1005,PFS,left,LO,left,ToolLoc,ppi,0.0012336510096377293
sub-spaceloc1005,PFS,left,LO,right,ToolLoc,ppi,0.009200311649527232
sub-spaceloc1005,PFS,left,PFS,left,ToolLoc,ppi,0.0012336510096377293
sub-spaceloc1005,PFS,left,PFS,right,ToolLoc,ppi,0.009200311649527232
sub-spaceloc1005,PFS,left,aIPS,left,ToolLoc,ppi,0.0012336510096377293
sub-spaceloc1005,PFS,left,aIPS,right,ToolLoc,ppi,0.009200311649527232
sub-spaceloc1005,PFS,right,pIPS,left,ToolLoc,ppi,0.005813807622481753
sub-spaceloc1005,PFS,right,pIPS,right,ToolLoc,ppi,0.00863815722246231
sub-spaceloc1005,PFS,right,LO,left,ToolLoc,ppi,0.005813807622481753
sub-spaceloc1005,PFS,right,LO,right,ToolLoc,ppi,0.00863815722246231
sub-spaceloc1005,PFS,right,PFS,left,ToolLoc,ppi,0.005813807622481753
sub-spaceloc1005,PFS,right,PFS,right,ToolLoc,ppi,0.00863815722246231
sub-spaceloc1005,PFS,right,aIPS,left,ToolLoc,ppi,0.005813807622481753
sub-spaceloc1005,PFS,right,aIPS,right,ToolLoc,ppi,0.00863815722246231
