ROI_ID,Mean_Difference,Std_Error,SNR,p_value,Direction_Consistency,ROI_Name,Top_10_Percent,Top_25_Percent
180,0.014064237,0.0034394143,4.089137,0.0008779436838953443,1.0,7Networks_RH_Cont_PFCmp_1,False,False
181,0.019538673,0.003921485,4.9824677,0.00012870443950962798,1.0,7Networks_RH_Cont_PFCmp_2,False,False
182,0.041830696,0.005838039,7.1651964,1.6325997078985473e-06,1.0,7Networks_RH_Default_Par_1,True,True
183,0.022462165,0.0051919217,4.3263683,0.0005252536075677295,1.0,7Networks_RH_Default_Par_2,False,False
184,0.019108348,0.003255543,5.8694806,2.0395530659424274e-05,1.0,7Networks_RH_Default_Par_3,False,True
185,0.008291299,0.0018863678,4.395378,0.0004525031710862721,1.0,7Networks_RH_Default_Temp_1,False,False
186,0.012353106,0.0043915864,2.812903,0.013517254657772274,1.0,7Networks_RH_Default_Temp_2,False,False
187,0.015757995,0.004907916,3.2107303,0.005849044076033388,1.0,7Networks_RH_Default_Temp_3,False,False
188,0.023655174,0.0058446694,4.0473075,0.0009612996823063629,1.0,7Networks_RH_Default_Temp_4,False,False
189,0.018233094,0.0034604806,5.2689486,7.03713270279286e-05,1.0,7Networks_RH_Default_Temp_5,False,False
190,0.015354973,0.0031274664,4.9097166,0.00015020285975868514,1.0,7Networks_RH_Default_PFCv_1,False,False
191,0.009037961,0.0014577372,6.1999936,1.0499159391474471e-05,1.0,7Networks_RH_Default_PFCdPFCm_1,False,True
192,0.02049941,0.0073335897,2.7952764,0.014020246064697466,1.0,7Networks_RH_Default_PFCdPFCm_2,False,False
193,0.017620126,0.0068764794,2.562376,0.022586304163708094,1.0,7Networks_RH_Default_PFCdPFCm_3,False,False
194,0.00786111,0.001383141,5.6835203,2.980217236938562e-05,1.0,7Networks_RH_Default_PFCdPFCm_4,False,False
195,0.012387102,0.0016575932,7.4729443,9.248295482355094e-07,1.0,7Networks_RH_Default_PFCdPFCm_5,True,True
196,0.017573493,0.0029789717,5.899181,1.9203907408694763e-05,1.0,7Networks_RH_Default_PFCdPFCm_6,False,True
197,0.020998335,0.003914892,5.363707,5.773207524961684e-05,1.0,7Networks_RH_Default_PFCdPFCm_7,False,False
198,0.056032777,0.008900165,6.295701,8.684096528758318e-06,1.0,7Networks_RH_Default_pCunPCC_1,False,True
199,0.03504133,0.008993439,3.8963213,0.0013337869696743488,1.0,7Networks_RH_Default_pCunPCC_2,False,False
200,0.035273146,0.006591717,5.351132,5.926586411339511e-05,1.0,7Networks_RH_Default_pCunPCC_3,False,False
