ROI_ID,ROI_Name,Clean_Name,Mean_Difference,p_value,t_stat,Significant,Effect_Size,N_pairs,Lobe,Hemisphere
b'17Networks_LH_DorsAttnA_ParOcc_1',Wang_b'17Networks_LH_DorsAttnA_ParOcc_1',b'17Networks_LH_DorsAttnA_ParOcc_1',-0.30099181114945356,7.374563523455423e-17,-8.552560791349205,True,-0.3207460889427097,711,Parietal,L
b'17Networks_LH_DefaultB_PFCv_1',Wang_b'17Networks_LH_DefaultB_PFCv_1',b'17Networks_LH_DefaultB_PFCv_1',-0.33705587001577303,6.504486700365844e-16,-8.31432593966088,True,-0.34375507040466957,585,Frontal,L
b'17Networks_RH_SomMotA_9',Wang_b'17Networks_RH_SomMotA_9',b'17Networks_RH_SomMotA_9',-0.13217933251772676,5.957044601473715e-05,-4.060907102476137,True,-0.20970434104513994,375,Somatomotor,R
b'17Networks_RH_DefaultA_PFCm_3',Wang_b'17Networks_RH_DefaultA_PFCm_3',b'17Networks_RH_DefaultA_PFCm_3',-0.13136040777810673,6.3898518664189856e-15,-7.880090074411324,True,-0.20722733185646922,1446,Frontal,R
b'17Networks_RH_SalVentAttnA_Ins_1',Wang_b'17Networks_RH_SalVentAttnA_Ins_1',b'17Networks_RH_SalVentAttnA_Ins_1',-0.8363203947248546,1.1008683061395353e-19,-9.62159580497495,True,-0.5022432127765794,367,Insular,R
b'17Networks_RH_DorsAttnB_PostC_3',Wang_b'17Networks_RH_DorsAttnB_PostC_3',b'17Networks_RH_DorsAttnB_PostC_3',-2.37561874760409,7.596504369884714e-176,-38.091040212779184,True,-1.4069246717747592,733,Temporal,R
b'17Networks_RH_VisPeri_ExStrSup_1',Wang_b'17Networks_RH_VisPeri_ExStrSup_1',b'17Networks_RH_VisPeri_ExStrSup_1',-0.1286826679279915,9.645043706706155e-05,-3.9408796179731986,True,-0.20084582290938235,385,Occipital,R
b'17Networks_RH_SalVentAttnA_Ins_2',Wang_b'17Networks_RH_SalVentAttnA_Ins_2',b'17Networks_RH_SalVentAttnA_Ins_2',-1.6636574087348408,1.2098138405288618e-114,-27.31953389900515,True,-0.996240894976207,752,Insular,R
b'17Networks_RH_SomMotB_Aud_2',Wang_b'17Networks_RH_SomMotB_Aud_2',b'17Networks_RH_SomMotB_Aud_2',0.0,,,False,,530,Somatomotor,R
b'17Networks_RH_LimbicB_OFC_1',Wang_b'17Networks_RH_LimbicB_OFC_1',b'17Networks_RH_LimbicB_OFC_1',0.0,,,False,,854,Frontal,R
b'17Networks_RH_DefaultA_PFCd_1',Wang_b'17Networks_RH_DefaultA_PFCd_1',b'17Networks_RH_DefaultA_PFCd_1',-0.4621803936841158,6.315671181886197e-29,-11.84825275221948,True,-0.5112898453154286,537,Frontal,R
